description,spider,title,url
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=xtick.top
Add an infinitely long straight line.,,matplotlib.pyplot.axline,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.axline.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=ytick.right
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=xtick.bottom
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=ytick.left
Add a horizontal line across the Axes.,,matplotlib.pyplot.axhline,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.axhline.html
Add an arrow to the Axes.,,matplotlib.pyplot.arrow,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.arrow.html
Autoscale the axis view to the data (toggle).,,matplotlib.pyplot.autoscale,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.autoscale.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=errorbar.capsize
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=axes.titley
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=axes.titlelocation
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=timezone
Plot the angle spectrum.,,matplotlib.pyplot.angle_spectrum,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.angle_spectrum.html
"A debug function to draw a rectangle around the bounding
box returned by an artist's ,
to test whether the artist is returning the correct bbox.",,matplotlib.patches.draw_bbox,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.draw_bbox.html
"A debug function to draw a rectangle around the bounding
box returned by an artist's ,
to test whether the artist is returning the correct bbox.",,matplotlib.patches.bbox_artist,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.bbox_artist.html
Bases: ,,matplotlib.patches.RegularPolygon,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.RegularPolygon.html
Bases: ,,matplotlib.patches.Shadow,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Shadow.html
"Annotate the point , with text ,.",,matplotlib.pyplot.annotate,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.annotate.html
Bases: ,,matplotlib.patches.Patch,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Patch.html
Bases: ,,matplotlib.patches.PathPatch,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.PathPatch.html
Bases: ,,matplotlib.patches.StepPatch,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.StepPatch.html
Bases: ,,matplotlib.patches.Ellipse,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Ellipse.html
Bases: ,,matplotlib.patches.ConnectionStyle,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.ConnectionStyle.html
Bases: ,,matplotlib.patches.FancyBboxPatch,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.FancyBboxPatch.html
Bases: ,,matplotlib.patches.CirclePolygon,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.CirclePolygon.html
Bases: ,,matplotlib.patches.ConnectionPatch,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.ConnectionPatch.html
Bases: ,,matplotlib.patches.ArrowStyle,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.ArrowStyle.html
Bases: ,,matplotlib.patches.BoxStyle,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.BoxStyle.html
Bases: ,,matplotlib.patches.Arc,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Arc.html
Bases: ,,matplotlib.patches.Annulus,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Annulus.html
Bases: ,,matplotlib.markers.MarkerStyle,https://matplotlib.org/stable/api/_as_gen/matplotlib.markers.MarkerStyle.html
"Return the indices of the segments in the polyline with coordinates (,,
,) that are within a distance , of the point (,, ,).",,matplotlib.lines.segment_hits,https://matplotlib.org/stable/api/_as_gen/matplotlib.lines.segment_hits.html
Bases: ,,matplotlib.lines.VertexSelector,https://matplotlib.org/stable/api/_as_gen/matplotlib.lines.VertexSelector.html
Bases: ,,matplotlib.gridspec.GridSpecBase,https://matplotlib.org/stable/api/_as_gen/matplotlib.gridspec.GridSpecBase.html
Bases: ,,matplotlib.gridspec.SubplotSpec,https://matplotlib.org/stable/api/_as_gen/matplotlib.gridspec.SubplotSpec.html
Return the global mapping of names to named colors.,,matplotlib.colors.get_named_colors_mapping,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.get_named_colors_mapping.html
"Decorator for building a , subclass from a ,
subclass.",,matplotlib.colors.make_norm_from_scale,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.make_norm_from_scale.html
"Return whether , can be interpreted as an RGB(A) color.",,matplotlib.colors.is_color_like,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.is_color_like.html
"Convert , to a hex color.",,matplotlib.colors.to_hex,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.to_hex.html
"Convert , to a (n, 4) array of RGBA colors.",,matplotlib.colors.to_rgba_array,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.to_rgba_array.html
Bases: ,,matplotlib.colors.ColorSequenceRegistry,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.ColorSequenceRegistry.html
Convert HSV values to RGB.,,matplotlib.colors.hsv_to_rgb,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.hsv_to_rgb.html
"A helper routine to generate a cmap and a norm instance which
behave similar to contourf's levels and colors arguments.",,matplotlib.colors.from_levels_and_colors,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.from_levels_and_colors.html
Bases: ,,matplotlib.colors.ListedColormap,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.ListedColormap.html
Bases: ,,matplotlib.colors.TwoSlopeNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.TwoSlopeNorm.html
Bases: ,,matplotlib.colors.LinearSegmentedColormap,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.LinearSegmentedColormap.html
Bases: ,,matplotlib.colors.SymLogNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.SymLogNorm.html
Bases: ,,matplotlib.colors.CenteredNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.CenteredNorm.html
Bases: ,,matplotlib.colors.FuncNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.FuncNorm.html
Bases: ,,matplotlib.colors.BoundaryNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.BoundaryNorm.html
Bases: ,,matplotlib.colors.NoNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.NoNorm.html
Bases: ,,matplotlib.colors.AsinhNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.AsinhNorm.html
Bases: ,,matplotlib.colors.Normalize,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.Normalize.html
Bases: ,,matplotlib.colors.PowerNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.PowerNorm.html
"Set the location of tick in data coords with scalar ,.",,matplotlib.axis.Tick.update_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.update_position.html
Set the tick label pad in points,,matplotlib.axis.Tick.set_pad,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.set_pad.html
Set the label2 text.,,matplotlib.axis.Tick.set_label2,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.set_label2.html
Set the url of label1 and label2.,,matplotlib.axis.Tick.set_url,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.set_url.html
Set the label1 text.,,matplotlib.axis.Tick.set_label1,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.set_label1.html
"Return the view limits , of the axis the tick belongs to.",,matplotlib.axis.Tick.get_view_interval,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.get_view_interval.html
Get the length of the tick outside of the Axes.,,matplotlib.axis.Tick.get_tick_padding,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.get_tick_padding.html
,,matplotlib.axis.Tick.get_tickdir,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.get_tickdir.html
Get the value of the tick label pad in points.,,matplotlib.axis.Tick.get_pad,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.get_pad.html
"[,]",,matplotlib.axis.Tick.get_pad_pixels,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.get_pad_pixels.html
Return the tick location (data coords) as a scalar.,,matplotlib.axis.Tick.get_loc,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Tick.get_loc.html
"[,] Set the text values of the tick labels.",,matplotlib.axis.Axis.set_ticklabels,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_ticklabels.html
Set this Axis' tick locations and optionally labels.,,matplotlib.axis.Axis.set_ticks,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_ticks.html
Re-initialize the major and minor Tick lists.,,matplotlib.axis.Axis.reset_ticks,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.reset_ticks.html
"Set the default limits for the axis data and view interval if they
have not been not mutated yet.",,matplotlib.axis.Axis.set_default_intervals,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_default_intervals.html
,,matplotlib.axis.Axis.limit_range_for_scale,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.limit_range_for_scale.html
,,matplotlib.axis.Axis.OFFSETTEXTPAD,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.OFFSETTEXTPAD.html
Move ticks and ticklabels (if present) to the right of the Axes.,,matplotlib.axis.YAxis.tick_right,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.tick_right.html
"The , instance the artist resides in, or ,.",,matplotlib.axis.Axis.axes,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.axes.html
Move ticks and ticklabels (if present) to the left of the Axes.,,matplotlib.axis.YAxis.tick_left,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.tick_left.html
,,matplotlib.axis.YAxis.set_offset_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.set_offset_position.html
Set the label position (left or right),,matplotlib.axis.YAxis.set_label_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.set_label_position.html
Set the ticks position.,,matplotlib.axis.YAxis.set_ticks_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.set_ticks_position.html
"Return the ticks position (""left"", ""right"", ""default"", or ""unknown"").",,matplotlib.axis.YAxis.get_ticks_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.get_ticks_position.html
Move ticks and ticklabels (if present) to the top of the Axes.,,matplotlib.axis.XAxis.tick_top,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.XAxis.tick_top.html
Read-only name identifying the axis.,,matplotlib.axis.YAxis.axis_name,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.axis_name.html
"[,]",,matplotlib.axis.YAxis.get_text_widths,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.YAxis.get_text_widths.html
Move ticks and ticklabels (if present) to the bottom of the Axes.,,matplotlib.axis.XAxis.tick_bottom,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.XAxis.tick_bottom.html
Set the label position (top or bottom),,matplotlib.axis.XAxis.set_label_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.XAxis.set_label_position.html
"Return the ticks position (""top"", ""bottom"", ""default"", or ""unknown"").",,matplotlib.axis.XAxis.get_ticks_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.XAxis.get_ticks_position.html
Set the ticks position.,,matplotlib.axis.XAxis.set_ticks_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.XAxis.set_ticks_position.html
Return the units for axis.,,matplotlib.axis.Axis.get_units,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_units.html
"Introspect , for units converter and update the
, instance if necessary. Return ,
if , is registered for unit conversion.",,matplotlib.axis.Axis.update_units,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.update_units.html
Read-only name identifying the axis.,,matplotlib.axis.XAxis.axis_name,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.XAxis.axis_name.html
"[,] Return how much space should be reserved for text above and below the
Axes, as a pair of floats.",,matplotlib.axis.XAxis.get_text_heights,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.XAxis.get_text_heights.html
Set the depth of the axis used by the picker.,,matplotlib.axis.Axis.set_pickradius,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_pickradius.html
,,matplotlib.axis.Axis.convert_units,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.convert_units.html
Set the units for axis.,,matplotlib.axis.Axis.set_units,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_units.html
Return the depth of the axis used by the picker.,,matplotlib.axis.Axis.get_pickradius,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_pickradius.html
Test whether the artist contains the mouse event.,,matplotlib.axis.Axis.contains,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.contains.html
"The acceptance radius for containment tests. See also ,.",,matplotlib.axis.Axis.pickradius,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.pickradius.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=axes.axisbelow
"Return a bounding box that encloses the axis. It only accounts
tick labels, axis label, and offsetText.",,matplotlib.axis.Axis.get_tightbbox,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_tightbbox.html
"[,] Get the extents of the tick labels on either side of the axes.",,matplotlib.axis.Axis.get_ticklabel_extents,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_ticklabel_extents.html
Add an Axes to the current figure and make it the current Axes.,,matplotlib.pyplot.axes,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.axes.html
Return the estimated number of ticks that can fit on the axis.,,matplotlib.axis.Axis.get_tick_space,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_tick_space.html
,,matplotlib.axis.Axis.get_minpos,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_minpos.html
"Bases: ,Given a sequence of ,s, ,s objects, and offsets, as
found in a ,, returns the bounding box that encapsulates
all of them.",,,https://matplotlib.org/stable/api/path_api.html
"Set whether this Axis is oriented in the ""inverse"" direction.",,matplotlib.axis.Axis.set_inverted,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_inverted.html
,,,https://matplotlib.org/stable/api/testing_api.html
"Set the axis view limits. This method is for internal use; Matplotlib
users should typically use e.g. , or ,.",,matplotlib.axis.Axis.set_view_interval,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_view_interval.html
Set the axis data limits. This method is for internal use.,,matplotlib.axis.Axis.set_data_interval,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_data_interval.html
"Return whether this Axis is oriented in the ""inverse"" direction.",,matplotlib.axis.Axis.get_inverted,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_inverted.html
"Return the , view limits of this axis.",,matplotlib.axis.Axis.get_view_interval,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_view_interval.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=ytick.labelleft
"Bases: ,Bases: ",,,https://matplotlib.org/stable/api/legend_api.html
"alias of ,Bases: ,Bases: ",,,https://matplotlib.org/stable/api/backend_agg_api.html
,,,https://matplotlib.org/stable/api/patches_api.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=ytick.labelright
"Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ",,,https://matplotlib.org/stable/api/widgets_api.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=xtick.labelbottom
"Return the , data limits of this axis.",,matplotlib.axis.Axis.get_data_interval,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_data_interval.html
Set up axis ticks and labels to treat data along this Axis as dates.,,matplotlib.axis.Axis.axis_date,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.axis_date.html
Bases: ,,matplotlib.lines.Line2D,https://matplotlib.org/stable/api/_as_gen/matplotlib.lines.Line2D.html
Configure the grid lines.,,matplotlib.axis.Axis.grid,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.grid.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=xtick.labeltop
Draw contour regions on an unstructured triangular grid.,,matplotlib.pyplot.tricontourf,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.tricontourf.html
"Return this Axis' grid lines as a list of ,s.",,matplotlib.axis.Axis.get_gridlines,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_gridlines.html
Draw contour lines on an unstructured triangular grid.,,matplotlib.pyplot.tricontour,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.tricontour.html
Plot contour lines.,,matplotlib.pyplot.contour,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.contour.html
Return this Axis' tick locations in data coordinates.,,matplotlib.axis.Axis.get_ticklocs,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_ticklocs.html
"Convert , to an RGBA color.",,matplotlib.colors.to_rgba,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.to_rgba.html
"Set appearance parameters for ticks, ticklabels, and gridlines.",,matplotlib.axis.Axis.set_tick_params,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_tick_params.html
"Run the GUI event loop for , seconds.",,matplotlib.pyplot.pause,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.pause.html
Bases: ,,matplotlib.patches.Polygon,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Polygon.html
Get this Axis' tick labels.,,matplotlib.axis.Axis.get_ticklabels,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_ticklabels.html
,,,https://matplotlib.org/stable/api/axis_api.html
"Return this Axis' tick lines as a list of ,s.",,matplotlib.axis.Axis.get_ticklines,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_ticklines.html
,,,https://matplotlib.org/stable/api/animation_api.html
Bases: ,,matplotlib.patches.Arrow,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Arrow.html
Bases: ,,matplotlib.patches.Wedge,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Wedge.html
Adjust the subplot layout parameters.,,matplotlib.pyplot.subplots_adjust,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplots_adjust.html
Bases: ,,matplotlib.patches.FancyArrow,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.FancyArrow.html
,,matplotlib.axis.Axis.get_tick_padding,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_tick_padding.html
Read an image from a file into an array.,,matplotlib.pyplot.imread,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.imread.html
Bases: ,,matplotlib.colors.Colormap,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.Colormap.html
Return the axis offsetText as a Text instance.,,matplotlib.axis.Axis.get_offset_text,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_offset_text.html
Bases: ,,matplotlib.colors.LogNorm,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.LogNorm.html
Bases: ,,matplotlib.patches.Rectangle,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.Rectangle.html
Save the current figure.,,matplotlib.pyplot.savefig,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.savefig.html
"Return this Axis' minor tick labels, as a list of ,.",,matplotlib.axis.Axis.get_minorticklabels,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_minorticklabels.html
,,,https://matplotlib.org/stable/api/colors_api.html
"Return the list of minor ,s.",,matplotlib.axis.Axis.get_minor_ticks,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_minor_ticks.html
"Return whether the colors , and , are the same.",,matplotlib.colors.same_color,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.same_color.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=axes.titlepad
"Bases: ,Bases: ,Bases: ,, ,Bases: ",,,https://matplotlib.org/stable/api/contour_api.html
Return this Axis' major tick locations in data coordinates.,,matplotlib.axis.Axis.get_majorticklocs,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_majorticklocs.html
"Bases: ,Compute the angle of the frequency spectrum (wrapped phase spectrum) of ,.
Data is padded to a length of , and the windowing function , is
applied to the signal.,The coherence between , and ,. Coherence is the normalized
cross spectral density:,Compute the complex-valued frequency spectrum of ,.
Data is padded to a length of , and the windowing function , is
applied to the signal.,Compute the cross-spectral density.,Return , with its trend removed.,Return , minus best fit line; 'linear' detrending.,Return , minus the mean(,).,Return ,: no detrending.,Compute the magnitude (absolute value) of the frequency spectrum of ,.
Data is padded to a length of , and the windowing function , is
applied to the signal.,Compute the phase of the frequency spectrum (unwrapped phase spectrum) of ,.
Data is padded to a length of , and the windowing function , is
applied to the signal.,Compute the power spectral density.,Compute a spectrogram.,[,] Get all windows of , with length , as a single array,
using strides to avoid data duplication.,Return , times the Hanning (or Hann) window of len(,).,No window function; simply return ,.",,,https://matplotlib.org/stable/api/mlab_api.html
Plot filled contours.,,matplotlib.pyplot.contourf,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.contourf.html
Get the text of the label.,,matplotlib.axis.Axis.get_label_text,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_label_text.html
"Change the appearance of ticks, tick labels, and gridlines.",,matplotlib.pyplot.tick_params,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.tick_params.html
"Return this Axis' major tick lines as a list of ,s.",,matplotlib.axis.Axis.get_majorticklines,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_majorticklines.html
"Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Convert datetime objects to Matplotlib dates.,Convert a date string to a datenum using ,.,Return a sequence of equally spaced Matplotlib dates.,[,] Convert UNIX time to days since Matplotlib epoch.,Get the epoch used by ,.,Convert Matplotlib dates to , objects.,[,] Convert days since Matplotlib epoch to UNIX time.,Convert number of days to a , object.,Bases: ,Bases: ,Set the epoch (origin for dates) for datetime calculations.",,,https://matplotlib.org/stable/api/dates_api.html
"Bases: ,Bases: ,Bases: ",,,https://matplotlib.org/stable/api/spines_api.html
Return the axis label as a Text instance.,,matplotlib.axis.Axis.get_label,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_label.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=image.interpolation
"An unstructured triangular grid consisting of npoints points and
ntri triangles. The triangles can either be specified by the user
or automatically generated using a Delaunay triangulation.,Bases: ,Abstract base class for classes used to find the triangles of a
Triangulation in which (x, y) points lie.,Bases: ,Abstract base class for classes used to interpolate on a triangular grid.,Bases: ,Bases: ,Abstract base class for classes implementing mesh refinement.,Bases: ,Define basic tools for triangular mesh analysis and improvement.",,,https://matplotlib.org/stable/api/tri_api.html
Return the label position (top or bottom),,matplotlib.axis.Axis.get_label_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_label_position.html
Bases: ,,matplotlib.colors.LightSource,https://matplotlib.org/stable/api/_as_gen/matplotlib.colors.LightSource.html
Set the text value of the axis label.,,matplotlib.axis.Axis.set_label_text,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_label_text.html
Set the coordinates of the label.,,matplotlib.axis.Axis.set_label_coords,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_label_coords.html
Set the label position (top or bottom),,matplotlib.axis.Axis.set_label_position,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_label_position.html
"Bases: ,Bases: ,, ,Bases: ",,,https://matplotlib.org/stable/api/text_api.html
"Plot the cross correlation between , and ,.",,matplotlib.pyplot.xcorr,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.xcorr.html
,,matplotlib.axis.Axis.set_remove_overlapping_locs,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_remove_overlapping_locs.html
Bases: ,,matplotlib.gridspec.GridSpecFromSubplotSpec,https://matplotlib.org/stable/api/_as_gen/matplotlib.gridspec.GridSpecFromSubplotSpec.html
"Plot the autocorrelation of ,.",,matplotlib.pyplot.acorr,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.acorr.html
,,matplotlib.axis.Axis.get_remove_overlapping_locs,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_remove_overlapping_locs.html
If minor ticker locations that overlap with major ticker locations should be trimmed.,,matplotlib.axis.Axis.remove_overlapping_locs,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.remove_overlapping_locs.html
Set the locator of the minor ticker.,,matplotlib.axis.Axis.set_minor_locator,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_minor_locator.html
"Display data as an image, i.e., on a 2D regular raster.",,matplotlib.pyplot.imshow,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.imshow.html
Set the formatter of the minor ticker.,,matplotlib.axis.Axis.set_minor_formatter,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_minor_formatter.html
"Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Composite a number of RGBA images into one. The images are
composited in the order in which they appear in the , list.,Read an image from a file into an array.,Colormap and save an array as an image file.,Load a , and return it as a numpy int array.,Make a thumbnail of image in , with output filename ,.",,,https://matplotlib.org/stable/api/image_api.html
Set the locator of the major ticker.,,matplotlib.axis.Axis.set_major_locator,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_major_locator.html
Set the formatter of the major ticker.,,matplotlib.axis.Axis.set_major_formatter,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.set_major_formatter.html
Get the locator of the minor ticker.,,matplotlib.axis.Axis.get_minor_locator,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_minor_locator.html
"Bases: ,Bases: ,Bases: ,Bases: ,, ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ",,,https://matplotlib.org/stable/api/collections_api.html
Return this Axis' scale (as a str).,,matplotlib.axis.Axis.get_scale,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_scale.html
Clear the axis.,,matplotlib.axis.Axis.clear,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.clear.html
