description,title
Differentiate a Hermite_e series.,numpy.polynomial.hermite_e.hermeder
Hermite series whose graph is a straight line.,numpy.polynomial.hermite.hermline
"Evaluate a 3-D Laguerre series on the Cartesian product of x, y, and z.",numpy.polynomial.laguerre.laggrid3d
Remove “small” “trailing” coefficients from a polynomial.,numpy.polynomial.hermite.hermtrim
"Evaluate a 3-D HermiteE series on the Cartesian product of x, y, and z.",numpy.polynomial.hermite_e.hermegrid3d
Compute the roots of a Legendre series.,numpy.polynomial.legendre.legroots
Evaluate a 2-D Laguerre series on the Cartesian product of x and y.,numpy.polynomial.laguerre.laggrid2d
Least squares fit of Hermite series to data.,numpy.polynomial.hermite.hermfit
Generate a Legendre series with given roots.,numpy.polynomial.legendre.legfromroots
Evaluate a 2-D HermiteE series on the Cartesian product of x and y.,numpy.polynomial.hermite_e.hermegrid2d
Evaluate a Laguerre series at points x.,numpy.polynomial.laguerre.lagval
Raise a Hermite series to a power.,numpy.polynomial.hermite_e.hermepow
Evaluate an HermiteE series at points x.,numpy.polynomial.hermite_e.hermeval
Gauss-Hermite quadrature.,numpy.polynomial.hermite.hermgauss
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.hermite.hermvander3d
"Evaluate a 3-D Legendre series on the Cartesian product of x, y, and z.",numpy.polynomial.legendre.leggrid3d
Differentiate a Legendre series.,numpy.polynomial.legendre.legder
Weight function of the Hermite polynomials.,numpy.polynomial.hermite.hermweight
Evaluate a 2-D Legendre series on the Cartesian product of x and y.,numpy.polynomial.legendre.leggrid2d
Divide one Laguerre series by another.,numpy.polynomial.laguerre.lagdiv
Convert a polynomial to a Legendre series.,numpy.polynomial.legendre.poly2leg
Divide one Hermite series by another.,numpy.polynomial.hermite_e.hermediv
Pseudo-Vandermonde matrix of given degree.,numpy.polynomial.hermite.hermvander
"Evaluate a 3-D Legendre series at points (x, y, z).",numpy.polynomial.legendre.legval3d
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.hermite.hermvander2d
Multiply one Laguerre series by another.,numpy.polynomial.laguerre.lagmul
Multiply one Hermite series by another.,numpy.polynomial.hermite_e.hermemul
"Evaluate a 2-D Legendre series at points (x, y).",numpy.polynomial.legendre.legval2d
Multiply a Hermite series by x.,numpy.polynomial.hermite_e.hermemulx
Compute the roots of a Hermite series.,numpy.polynomial.hermite.hermroots
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.laguerre.lagx
Subtract one Laguerre series from another.,numpy.polynomial.laguerre.lagsub
Generate a Hermite series with given roots.,numpy.polynomial.hermite.hermfromroots
Subtract one Hermite series from another.,numpy.polynomial.hermite_e.hermesub
Difference (subtraction) of two polynomials.,numpy.polysub
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite_e.hermex
Differentiate a Hermite series.,numpy.polynomial.hermite.hermder
Multiply one Legendre series by another.,numpy.polynomial.legendre.legmul
Multiply a Legendre series by x.,numpy.polynomial.legendre.legmulx
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite_e.hermedomain
Linear map parameters between domains.,numpy.polynomial.polyutils.mapparms
Returns the quotient and remainder of polynomial division.,numpy.polydiv
"Evaluate a 3-D Hermite series at points (x, y, z).",numpy.polynomial.hermite.hermval3d
Return an antiderivative (indefinite integral) of a polynomial.,numpy.polyint
Add one Legendre series to another.,numpy.polynomial.legendre.legadd
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite.hermdomain
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.chebyshev.chebvander3d
Return the roots of a polynomial with coefficients given in p.,numpy.roots
Remove “small” “trailing” coefficients from a polynomial.,numpy.polynomial.polyutils.trimcoef
Remove small Poly series coefficients.,numpy.polynomial.polyutils.trimseq
Add one Hermite series to another.,numpy.polynomial.hermite.hermadd
Divide one Hermite series by another.,numpy.polynomial.hermite.hermdiv
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.polynomial.polyvander2d
Multiply one Hermite series by another.,numpy.polynomial.hermite.hermmul
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.chebyshev.chebvander2d
Vandermonde matrix of given degree.,numpy.polynomial.polynomial.polyvander
Generate a Chebyshev series with given roots.,numpy.polynomial.chebyshev.chebfromroots
Integrate a polynomial.,numpy.polynomial.polynomial.polyint
Integrate a Chebyshev series.,numpy.polynomial.chebyshev.chebint
Differentiate a polynomial.,numpy.polynomial.polynomial.polyder
Differentiate a Chebyshev series.,numpy.polynomial.chebyshev.chebder
Multiply one polynomial by another.,numpy.polynomial.polynomial.polymul
Multiply one Chebyshev series by another.,numpy.polynomial.chebyshev.chebmul
Multiply a polynomial by x.,numpy.polynomial.polynomial.polymulx
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.chebyshev.chebzero
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.chebyshev.chebdomain
Subtract one polynomial from another.,numpy.polynomial.polynomial.polysub
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.polynomial.polydomain
Multiply a Chebyshev series by x.,numpy.polynomial.chebyshev.chebmulx
Subtract one Chebyshev series from another.,numpy.polynomial.chebyshev.chebsub
Add one Chebyshev series to another.,numpy.polynomial.chebyshev.chebadd
Add one polynomial to another.,numpy.polynomial.polynomial.polyadd
Return self^value.,numpy.ma.MaskedArray.__xor__
Return value&self.,numpy.ma.MaskedArray.__rand__
Return value>>self.,numpy.ma.MaskedArray.__rrshift__
Return self|value.,numpy.ma.MaskedArray.__or__
"Return divmod(value, self).",numpy.ma.MaskedArray.__rdivmod__
Return self&value.,numpy.ma.MaskedArray.__and__
"Return divmod(self, value).",numpy.ma.MaskedArray.__divmod__
Return the sum of the array elements over the given axis.,numpy.ma.MaskedArray.sum
Return value%self.,numpy.ma.MaskedArray.__rmod__
"Subtract self from other, and return a new masked array.",numpy.ma.MaskedArray.__rsub__
Return self%value.,numpy.ma.MaskedArray.__mod__
"Divide self into other, and return a new masked array.",numpy.ma.MaskedArray.__rfloordiv__
"Add self to other, and return a new masked array.",numpy.ma.MaskedArray.__add__
,numpy.ma.MaskedArray.__abs__
"Add other to self, and return a new masked array.",numpy.ma.MaskedArray.__radd__
View of the transposed array.,numpy.ma.MaskedArray.T
"Returns array of indices of the maximum values along the given axis.
Masked values are treated as if they had the value fill_value.",numpy.ma.MaskedArray.argmax
"Dump a pickle of the array to the specified file.
The array can be read back with pickle.load or numpy.load.",numpy.ma.MaskedArray.dump
Fill the array with a scalar value.,numpy.ma.MaskedArray.fill
"Return specified diagonals. In NumPy 1.9 the returned array is a
read-only view instead of a copy as in previous NumPy versions.  In
a future version the read-only restriction will be removed.",numpy.ma.MaskedArray.diagonal
"Return the fractional and integral parts of an array, element-wise.",numpy.modf
"Returns x1 * 2**x2, element-wise.",numpy.ldexp
"Change the sign of x1 to that of x2, element-wise.",numpy.copysign
Return the distance between x and the nearest adjacent number.,numpy.spacing
Element-wise maximum of array elements.,numpy.fmax
Return the data portion of the masked array as a hierarchical Python list.,numpy.ma.MaskedArray.tolist
Mask an array where less than or equal to a given value.,numpy.ma.masked_less_equal
"Return a view of the array with , and , interchanged.",numpy.ma.MaskedArray.swapaxes
"Return the mask of a masked array, or full boolean array of False.",numpy.ma.getmaskarray
Test element-wise for NaN and return result as a boolean array.,numpy.isnan
"Returns a 1D version of self, as a view.",numpy.ma.MaskedArray.ravel
Test element-wise for finiteness (not infinity and not Not a Number).,numpy.isfinite
"A compatibility alias for ,, with exactly the same behavior.",numpy.ma.MaskedArray.tostring
Compute the truth value of NOT x element-wise.,numpy.logical_not
Translate slice objects to concatenation along the first axis.,numpy.ma.mr_
Compute the truth value of x1 AND x2 element-wise.,numpy.logical_and
Return all the non-masked data as a 1-D array.,numpy.ma.MaskedArray.compressed
Swap the bytes of the array elements,numpy.ma.MaskedArray.byteswap
Transforms a masked array into a flexible-type array.,numpy.ma.MaskedArray.toflex
"Raises an AssertionError if two objects are not equal up to desired
tolerance.",numpy.testing.assert_allclose
Return (x1 == x2) element-wise.,numpy.equal
"Efficient multi-dimensional iterator object to iterate over arrays.
To get started using this object, see the
,.",numpy.nditer
Mask an array where equal to a given value.,numpy.ma.masked_equal
Construct an open mesh from multiple sequences.,numpy.ix_
Return the truth value of (x1 <= x2) element-wise.,numpy.less_equal
Mask an array where greater than or equal to a given value.,numpy.ma.masked_greater_equal
Return the truth value of (x1 < x2) element-wise.,numpy.less
"Copy of the array, cast to a specified type.",numpy.ma.MaskedArray.astype
Convert the input to a masked array of the given data-type.,numpy.ma.asarray
Return (x1 != x2) element-wise.,numpy.not_equal
Return a view of the MaskedArray data.,numpy.ma.MaskedArray.view
"Compute the qth quantile of the data along the specified axis,
while ignoring nan values.
Returns the qth quantile(s) of the array elements.",numpy.nanquantile
Join a sequence of arrays along a new axis.,numpy.ma.stack
Return the real part of the complex argument.,numpy.real
Return the imaginary part of the complex argument.,numpy.imag
Fill the array with a scalar value.,numpy.ndarray.fill
Shift the bits of an integer to the left.,numpy.left_shift
Return the truth value of (x1 > x2) element-wise.,numpy.greater
"Return a flat iterator, or set a flattened version of self to value.",numpy.ma.MaskedArray.flat
alias of ,numpy.ma.masked_array
The real part of the masked array.,numpy.ma.MaskedArray.real
Shift the bits of an integer to the right.,numpy.right_shift
,numpy.ma.MaskedArray.__array_priority__
Evaluates the Einstein summation convention on the operands.,numpy.einsum
Range of values (maximum - minimum) along an axis.,numpy.ptp
Number of array dimensions.,numpy.ma.MaskedArray.ndim
Unpacks elements of a uint8 array into a binary-valued output array.,numpy.unpackbits
Convert angles from radians to degrees.,numpy.rad2deg
Base object if memory is from some other object.,numpy.ndarray.base
The imaginary part of the masked array.,numpy.ma.MaskedArray.imag
Tuple of array dimensions.,numpy.ma.MaskedArray.shape
Return selected slices of an array along given axis.,numpy.compress
Length of one array element in bytes.,numpy.ma.MaskedArray.itemsize
"Remove axes of length one from ,.",numpy.squeeze
Compute the bit-wise AND of two arrays element-wise.,numpy.bitwise_and
Convert angles from radians to degrees.,numpy.degrees
Copy an element of an array to a standard Python scalar and return it.,numpy.ndarray.item
Convert angles from degrees to radians.,numpy.radians
Information about the memory layout of the array.,numpy.ma.MaskedArray.flags
Inverse hyperbolic tangent element-wise.,numpy.arctanh
Repeat elements of an array.,numpy.repeat
Data-type of the array’s elements.,numpy.ma.MaskedArray.dtype
Stack arrays in sequence depth wise (along third axis).,numpy.dstack
Base object if memory is from some other object.,numpy.ma.MaskedArray.base
Replaces specified elements of an array with given values.,numpy.put
Split array into multiple sub-arrays along the 3rd axis (depth).,numpy.dsplit
"Load arrays or pickled objects from ,, , or pickled files.",numpy.load
"Inverse hyperbolic cosine, element-wise.",numpy.arccosh
"Trigonometric inverse tangent, element-wise.",numpy.arctan
Inverse hyperbolic sine element-wise.,numpy.arcsinh
"Trigonometric inverse cosine, element-wise.",numpy.arccos
"Returns the greatest common divisor of , and ",numpy.gcd
"Return the cube-root of an array, element-wise.",numpy.cbrt
"Return the reciprocal of the argument, element-wise.",numpy.reciprocal
Split an array into multiple sub-arrays vertically (row-wise).,numpy.vsplit
Split an array into multiple sub-arrays horizontally (column-wise).,numpy.hsplit
Translates slice objects to concatenation along the second axis.,numpy.c_
Return the element-wise square of the input.,numpy.square
"Natural logarithm, element-wise.",numpy.log
A 1-D iterator over the array.,numpy.ndarray.flat
"Return the complex conjugate, element-wise.",numpy.conjugate
"Calculate , for all elements in the array.",numpy.expm1
Stack arrays in sequence vertically (row wise).,numpy.vstack
Calculate the exponential of all elements in the input array.,numpy.exp
Return a new array with the specified shape.,numpy.resize
Change shape and size of array in-place.,numpy.ndarray.resize
Format a floating-point scalar as a decimal string in scientific notation.,numpy.format_float_scientific
"Return elements chosen from , or , depending on ,.",numpy.where
Calculate the absolute value element-wise.,numpy.absolute
Compute the absolute values element-wise.,numpy.fabs
Compute the Heaviside step function.,numpy.heaviside
Raises an AssertionError if two objects are not equal.,numpy.testing.assert_equal
Return the dot product of two vectors.,numpy.vdot
Return element-wise quotient and remainder simultaneously.,numpy.divmod
Returns a field of the given array as a certain type.,numpy.ndarray.getfield
"Raises an AssertionError if two objects are not equal up to desired
precision.",numpy.testing.assert_array_almost_equal
"Raises an AssertionError if two items are not equal up to desired
precision.",numpy.testing.assert_almost_equal
"Raises an AssertionError if two items are not equal up to significant
digits.",numpy.testing.assert_approx_equal
"Test if two objects are equal, and print an error message if test fails.",numpy.testing.print_assert_equal
Fail unless the given callable throws the specified warning.,numpy.testing.assert_warns
Test if two strings are equal.,numpy.testing.assert_string_equal
"Assert that works in release mode.
Accepts callable msg to allow deferring evaluation until failure.",numpy.testing.assert_
Signals to nose that this function is or is not a test.,numpy.testing.dec.setastest
The required alignment (bytes) of this data-type according to the compiler.,numpy.dtype.alignment
Fail if the given callable produces any warnings.,numpy.testing.assert_no_warnings
Filter deprecation warnings while running the test suite.,numpy.testing.dec.deprecated
Fail if the given callable produces any reference cycles.,numpy.testing.assert_no_gc_cycles
Apply a decorator to all methods in a class matching a regular expression.,numpy.testing.decorate_methods
Label a test as ‘slow’.,numpy.testing.dec.slow
alias of ,numpy.testing.Tester
Make function raise KnownFailureException exception if given condition is true.,numpy.testing.dec.knownfailureif
"Context manager and decorator doing much the same as
,.",numpy.testing.suppress_warnings
"Boolean indicating whether the dtype is a struct which maintains
field alignment. This flag is sticky, so when combining multiple
structs together, it is preserved and produces new dtypes which
are also aligned.",numpy.dtype.isalignedstruct
Run doctests found in the given file.,numpy.testing.rundocs
Run a test module.,numpy.testing.run_module_suite
Return elapsed time for executing code in the namespace of the caller.,numpy.testing.measure
Convert the input to an array.,numpy.asarray
Append a new recording filter or apply it if the state is entered.,numpy.testing.suppress_warnings.record
Mixin defining all operator special methods using __array_ufunc__.,numpy.lib.mixins.NDArrayOperatorsMixin
Return the angle of the complex argument.,numpy.angle
Return key in self.,numpy.ndarray.__contains__
Context manager that resets warning registry for catching warnings,numpy.testing.clear_and_catch_warnings
Make function raise SkipTest exception if a given condition is true.,numpy.testing.dec.skipif
Compute the histogram of a dataset.,numpy.histogram
"Fail unless an exception of class exception_class and with message that
matches expected_regexp is thrown by callable when invoked with arguments
args and keyword arguments kwargs.",numpy.testing.assert_raises_regex
"Fail unless an exception of class exception_class is thrown
by callable when invoked with arguments args and keyword
arguments kwargs. If a different type of exception is
thrown, it will not be caught, and the test case will be
deemed to have suffered an error, exactly as for an
unexpected exception.",numpy.testing.assert_raises
Load data from a text file.,numpy.loadtxt
"Raises an AssertionError if two array_like objects are not ordered by less
than.",numpy.testing.assert_array_less
Raises an AssertionError if two array_like objects are not equal.,numpy.testing.assert_array_equal
Cross-correlation of two 1-dimensional sequences.,numpy.correlate
Format a floating-point scalar as a decimal string in positional notation.,numpy.format_float_positional
Check that all items of arrays differ in at most N Units in the Last Place.,numpy.testing.assert_array_max_ulp
Compare two arrays relatively to their spacing.,numpy.testing.assert_array_almost_equal_nulp
Returns the element-wise remainder of division.,numpy.fmod
Compute the variance along the specified axis.,numpy.var
Returns the element-wise remainder of division.,numpy.mod
"First array elements raised to powers from second array, element-wise.",numpy.power
Return the product of array elements over a given axis.,numpy.prod
"Returns the discrete, linear convolution of two one-dimensional sequences.",numpy.convolve
"Return the largest integer smaller or equal to the division of the inputs.
It is equivalent to the Python , operator and pairs with the
Python , (,), function so that ,
up to roundoff.",numpy.floor_divide
Return numbers spaced evenly on a log scale.,numpy.logspace
"First array elements raised to powers from second array, element-wise.",numpy.float_power
 instance which returns a dense multi-dimensional “meshgrid”.,numpy.mgrid
"Numerical positive, element-wise.",numpy.positive
"Numerical negative, element-wise.",numpy.negative
Divide arguments element-wise.,numpy.true_divide
Return numbers spaced evenly on a log scale (a geometric progression).,numpy.geomspace
Logarithm of the sum of exponentiations of the inputs.,numpy.logaddexp
Multiply arguments element-wise.,numpy.multiply
Add arguments element-wise.,numpy.add
"Return the floor of the input, element-wise.",numpy.floor
Inner product of two arrays.,numpy.inner
,numpy.lib.arraysetops
"Modified Bessel function of the first kind, order 0.",numpy.i0
"Dot product of two arrays. Specifically,",numpy.dot
"Return the ceiling of the input, element-wise.",numpy.ceil
Return Pearson product-moment correlation coefficients.,numpy.corrcoef
Count number of occurrences of each value in array of non-negative ints.,numpy.bincount
Compute the N-dimensional inverse discrete Fourier Transform.,numpy.fft.ifftn
Compute the one-dimensional inverse discrete Fourier Transform.,numpy.fft.ifft
Create a sliding window view into the array with the given window shape.,numpy.lib.stride_tricks.sliding_window_view
Tuple of array dimensions.,numpy.ndarray.shape
Broadcast the input shapes into a single shape.,numpy.broadcast_shapes
Compute the N-dimensional discrete Fourier Transform.,numpy.fft.fftn
Python buffer object pointing to the start of the array’s data.,numpy.ndarray.data
Compute the weighted average along the specified axis.,numpy.average
Compute the 2-dimensional discrete Fourier Transform.,numpy.fft.fft2
Interpret the input as a matrix.,numpy.asmatrix
Create an array from binary file data,numpy.core.records.fromfile
"Build a matrix object from a string, nested sequence, or array.",numpy.bmat
Matrix or vector norm.,numpy.linalg.norm
"Returns a matrix from an array-like object, or from a string of data.
A matrix is a specialized 2-D array that retains its 2-D nature
through operations.  It has certain special operators, such as ,
(matrix multiplication) and , (matrix power).",numpy.matrix
Evaluate a piecewise-defined function.,numpy.piecewise
Save an array to a text file.,numpy.savetxt
Test whether any array element along a given axis evaluates to True.,numpy.any
"Performs unbuffered in place operation on operand ‘a’ for elements
specified by ‘indices’. For addition ufunc, this method is equivalent to
,, except that results are accumulated for elements that
are indexed more than once. For example, , will only
increment the first element once because of buffering, whereas
, will increment the first element twice.",numpy.ufunc.at
Takes an arbitrary Python function and returns a NumPy ufunc.,numpy.frompyfunc
Return the least-squares solution to a linear matrix equation.,numpy.linalg.lstsq
Return a random matrix with data from the “standard normal” distribution.,numpy.matlib.randn
Test whether all array elements along a given axis evaluate to True.,numpy.all
"Apply the ufunc , to all pairs (a, b) with a in , and b in ,.",numpy.ufunc.outer
Construct an array from data in a text or binary file.,numpy.fromfile
Return a matrix of random values with given shape.,numpy.matlib.rand
"Save several arrays into a single file in compressed , format.",numpy.savez_compressed
Construct an array by executing a function over each coordinate.,numpy.fromfunction
Performs a (local) reduce with specified slices over a single axis.,numpy.ufunc.reduceat
Compute the (multiplicative) inverse of a matrix.,numpy.linalg.inv
"Load data from a text file, with missing values handled as specified.",numpy.genfromtxt
Generalized function class.,numpy.vectorize
Compute the eigenvalues of a complex Hermitian or real symmetric matrix.,numpy.linalg.eigvalsh
Repeat a 0-D to 2-D array or matrix MxN times.,numpy.matlib.repmat
Accumulate the result of applying the operator to all elements.,numpy.ufunc.accumulate
Return a contiguous flattened array.,numpy.ravel
"Create a memory-map to an array stored in a , file on disk.",numpy.memmap
Construct Python bytes containing the raw data bytes in the array.,numpy.ndarray.tobytes
Put values into the destination array by matching 1d index and data slices.,numpy.put_along_axis
Compute the eigenvalues of a general matrix.,numpy.linalg.eigvals
Take values from the input array by matching 1d index and data slices.,numpy.take_along_axis
"Counts the number of valid days between , and
,, not including the day of ,.",numpy.busday_count
Write array to a file as text or binary (default).,numpy.ndarray.tofile
Return indices that are non-zero in the flattened version of a.,numpy.flatnonzero
Returns the square identity matrix of given size.,numpy.matlib.identity
Open a .npy file as a memory-mapped array.,numpy.lib.format.open_memmap
"Save an array to a binary file in NumPy , format.",numpy.save
"Calculates which of the given dates are valid days, and which are not.",numpy.is_busday
"Return the eigenvalues and eigenvectors of a complex Hermitian
(conjugate symmetric) or a real symmetric matrix.",numpy.linalg.eigh
Return a copy of the array collapsed into one dimension.,numpy.ndarray.flatten
Return a matrix with ones on the diagonal and zeros elsewhere.,numpy.matlib.eye
,numpy.distutils.system_info.get_info
Return the scalar dtype or NumPy equivalent of Python type of an object.,numpy.obj2sctype
Definition of the core elements a generalized ufunc operates on.,numpy.ufunc.signature
Return the Hanning window.,numpy.hanning
,numpy.distutils.log.set_verbosity
Reverse the order of elements in an array along the given axis.,numpy.flip
Return a new array with the same shape and type as a given array.,numpy.empty_like
Compute the eigenvalues and right eigenvectors of a square array.,numpy.linalg.eig
Return the Kaiser window.,numpy.kaiser
Return the Hamming window.,numpy.hamming
Return a scalar type which is common to the input arrays.,numpy.common_type
The identity value.,numpy.ufunc.identity
"A business day calendar object that efficiently stores information
defining valid days for the busday family of functions.",numpy.busdaycalendar
Matrix of ones.,numpy.matlib.ones
Gives a new shape to an array without changing its data.,numpy.reshape
,numpy.distutils.exec_command
"Return a new array of given shape and type, without initializing entries.",numpy.empty
Create a data type object.,numpy.dtype
Return the Blackman window.,numpy.blackman
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.ndarray
"Returns the type that results from applying the NumPy
type promotion rules to the arguments.",numpy.result_type
Returns a list with types grouped input->output.,numpy.ufunc.types
"First adjusts the date to fall on a valid day according to
the , rule, then applies offsets to the given dates
counted in valid days.",numpy.busday_offset
Compute the determinant of an array.,numpy.linalg.det
Returns an array with axes transposed.,numpy.transpose
"Return a matrix of given shape and type, filled with zeros.",numpy.matlib.zeros
Return an array of ones with the same shape and type as a given array.,numpy.ones_like
Methods,numpy.distutils.core.Extension
The number of arguments.,numpy.ufunc.nargs
"For scalar ,, returns the data type with the smallest size
and smallest scalar kind which can hold its value.  For non-scalar
array ,, returns the vector’s dtype unmodified.",numpy.min_scalar_type
Find the unique elements of an array.,numpy.unique
The number of types.,numpy.ufunc.ntypes
"Returns the data type with the smallest size and smallest scalar
kind to which both , and , may be safely cast.
The returned data type is always considered “canonical”, this mainly
means that the promoted dtype will always be in native byte order.",numpy.promote_types
"Return a new array of given shape and type, filled with ones.",numpy.ones
,numpy.distutils.ccompiler_opt
Construct an ndarray that allows field access using attributes.,numpy.recarray
New view of array with the same data.,numpy.ndarray.view
Return the indices of the elements that are non-zero.,numpy.nonzero
Expand the shape of an array.,numpy.expand_dims
Get information about the step size of a date or time type.,numpy.datetime_data
"Returns True if cast between data types can occur according to the
casting rule.  If from is a scalar or array scalar, also returns
True if the scalar value can be cast without overflow or truncation
to an integer.",numpy.can_cast
,numpy.distutils.ccompiler
The number of outputs.,numpy.ufunc.nout
Print or write to a file the source code for a NumPy object.,numpy.source
Return an array of zeros with the same shape and type as a given array.,numpy.zeros_like
"Return a new array of given shape and type, filled with zeros.",numpy.zeros
The number of inputs.,numpy.ufunc.nin
Put a value into a specified place in a field defined by a data-type.,numpy.ndarray.setfield
alias of ,numpy.ma.MaskType
Set the size of the buffer used in ufuncs.,numpy.setbufsize
"Compute the qth percentile of the data along the specified axis,
while ignoring nan values.",numpy.nanpercentile
Test whether each element of a 1-D array is also present in a second array.,numpy.in1d
Swap the bytes of the array elements,numpy.ndarray.byteswap
Find the intersection of two arrays.,numpy.intersect1d
"Copies values from one array to another, broadcasting as necessary.",numpy.copyto
Compute the square root of x.,numpy.emath.sqrt
Do a keyword search on docstrings.,numpy.lookfor
Set how floating-point errors are handled.,numpy.seterr
"Return the numeric string left-filled with zeros in a string of
length ,.",numpy.char.chararray.zfill
Return the current callback function used on floating-point errors.,numpy.geterrcall
Compute tensor dot product along specified axes.,numpy.tensordot
Return element-wise string concatenation for two arrays of str or unicode.,numpy.char.add
"Create a NumPy array from an object implementing the ,
protocol. Generally, the returned NumPy array is a read-only view
of the input object. See , and , for more details.",numpy.from_dlpack
Reset the broadcasted result’s iterator(s).,numpy.broadcast.reset
Take log base n of x.,numpy.emath.logn
"Perform an indirect partition along the given axis using the
algorithm specified by the , keyword. It returns an array of
indices of the same shape as , that index data along the given
axis in partitioned order.",numpy.argpartition
Find the set exclusive-or of two arrays.,numpy.setxor1d
"Return x to the power p, (x**p).",numpy.emath.power
"Return (a % i), that is pre-Python 2.6 string formatting
(interpolation), element-wise for a pair of array_likes of str
or unicode.",numpy.char.mod
Returns the transpose of the matrix.,numpy.matrix.T
"Return , as an , object.",numpy.matrix.A
Compute the inverse cosine of x.,numpy.emath.arccos
Set the object that defines floating-point error handling.,numpy.seterrobj
"Return a copy of , with only the first character of each element
capitalized.",numpy.char.capitalize
"Return the indices of the maximum values in the specified axis ignoring
NaNs. For all-NaN slices , is raised. Warning: the
results cannot be trusted if a slice contains only NaNs and -Infs.",numpy.nanargmax
Compute the one-dimensional discrete Fourier Transform for real input.,numpy.fft.rfft
Return the current object that defines floating-point error handling.,numpy.geterrobj
"Return a copy of each string element where all tab characters are
replaced by one or more spaces.",numpy.char.expandtabs
Return the binary representation of the input number as a string.,numpy.binary_repr
Return an array with the elements converted to lowercase.,numpy.char.lower
"Return a string which is the concatenation of the strings in the
sequence ,.",numpy.char.join
"The inverse of ,. Although identical for even-length ,, the
functions differ by one sample for odd-length ,.",numpy.fft.ifftshift
Determines whether the given object represents a scalar data-type.,numpy.issctype
Compute the N-dimensional discrete Fourier Transform for real input.,numpy.fft.rfftn
"Compute the variance along the specified axis, while ignoring NaNs.",numpy.nanvar
Pointer to start of data.,numpy.generic.data
"Return a new array of given shape and type, filled with ,.",numpy.full
"Dictionary of named fields defined for this data type, or ,.",numpy.dtype.fields
The number of elements in the gentype.,numpy.generic.size
"Returns True if any of the elements of , evaluate to True.",numpy.ma.any
Return the Discrete Fourier Transform sample frequencies.,numpy.fft.fftfreq
Broadcast an array to a new shape.,numpy.broadcast_to
Determine common type following standard coercion rules.,numpy.find_common_type
The length of one element in bytes.,numpy.generic.itemsize
"For each element in ,, return a copy with the leading characters
removed.",numpy.char.lstrip
"Create a ,.",numpy.core.defchararray.array
"Return an array with the elements of , right-justified in a
string of length ,.",numpy.char.rjust
A 1-D view of the scalar.,numpy.generic.flat
Integer indicating how this dtype relates to the built-in dtypes.,numpy.dtype.isbuiltin
Find indices where elements of v should be inserted in a to maintain order.,numpy.ndarray.searchsorted
Return the indices of unmasked elements that are not zero.,numpy.ma.nonzero
"Return the indices for the upper-triangle of an (n, m) array.",numpy.triu_indices
Compute the sign and (natural) logarithm of the determinant of an array.,numpy.linalg.slogdet
Array priority.,numpy.generic.__array_priority__
Return element-wise title cased version of string or unicode.,numpy.char.title
"Returns dtype for the base element of the subarrays,
regardless of their dimension or shape.",numpy.dtype.base
Return an array with the elements converted to uppercase.,numpy.char.upper
"Performs element-wise comparison of two string arrays using the
comparison operator specified by ,.",numpy.char.compare_chararrays
Integrate along the given axis using the composite trapezoidal rule.,numpy.trapz
Return the cumulative product of the elements along the given axis.,numpy.ndarray.cumprod
Return the minimum of an array or minimum along an axis.,numpy.amin
Return a new masked array with the specified size and shape.,numpy.ma.resize
Fill the main diagonal of the given array of any dimensionality.,numpy.fill_diagonal
"Returns an array with the number of non-overlapping occurrences of
substring , in the range [,, ,].",numpy.char.count
Returns True if all elements evaluate to True.,numpy.ndarray.all
An N-dimensional iterator object to index arrays.,numpy.ndindex
